original_ingredient_name,common_ingredient_name
smooth peanut butter,peanut butter
soy bean sprouts,bean sprout
ground chicken,chicken
coleslaw mix,coleslaw
onions,onion
swerve,sweetener
blackstrap molasses,molasses
silken tofu,soft tofu
fresh baby spinach,baby spinach
sea salt,salt
cucumber,cucumber
shredded carrot,carrot
sliced scallions,scallion / spring onion / green onion
stevia,sweetener
freshly ground pepper,ground pepper
medium carrots,carrot
pad thai brown rice noodles,rice noodle
mini sweet peppers sliced,pepper
uncooked small shrimp,shrimp
chilli pepper,chili
cauliflower florets,cauliflower florets
erythritol,sweetener
flaked almonds,almond
ghee,ghee
sunflower butter,sunflower butter
raw honey,honey
sweet potato,potato
diced red onion,red onion
sunflower seeds,sunflower seed
white pepper,pepper
gluten free tamari sauce,soy sauce
mild olive oil,olive oil
almonds,almond
white vinegar,vinegar
thai chili paste,chili paste
shrimps,shrimp
reduced sodium tamari,soy sauce
reduced sodium chicken stock,chicken stock
sweet soy sauce,soy sauce
soybean paste,soybean paste
thick cut bacon,bacon
spaghetti,spaghetti
frozen broccoli,broccoli
small onion,onion
preserved radish,preserved radish
red chili powder,chili powder
sweet onion,onion
radishes,radish
lemon wedges,lemon wedge
chili pepper,chili
thai red curry paste,thai red curry paste
mint leaves,mint
shrimp scampi,shrimp scampi
english cucumbers,cucumber
low sodium tamari sauce,soy sauce
fresh basil,basil
hot pepper,pepper
green bell peppers,bell pepper
ground beef,beef
beef broth,beef broth
taco seasoning,taco seasoning
cheddar cheese,cheese
avocado,avocado
bell pepper,bell pepper
lime juiced,lime juice
limes juiced,lime juice
jif® natural crunchy peanut butter,peanut butter
firmly packed brown sugar,brown sugar
peppers,pepper
small yellow onion,yellow onion
red chillies,red chili
chunky peanut butter,peanut butter
juice,juice
arrowroot flour,flour
freshly chopped cilantro,coriander / cilantro
roasted cashews,cashew
smooth almond butter,almond butter
full fat coconut milk,coconut milk
chicken breast fillet,chicken breast
medium carrot,carrot
fresh red chilli,red chili
shredded cabbage,cabbage
cooked quinoa,quinoa
gluten-free tamari,soy sauce
chili pepper and garlic sauce,chili garlic sauce
yellow miso,miso paste
veggies,vegetable
ginger powder,ground ginger
basil leaves,basil
soya sauce,soy sauce
miso paste,miso paste
rice flour,flour
raw shrimp,shrimp
galangal,galangal
green chilies,chili
ground white pepper,ground pepper
boneless skinless chicken breast,chicken breast
meat,meat
lime wedge,lime wedge
"spaghetti squash, halved and seeded",spaghetti squash
chile-garlic sauce,chili garlic sauce
minced fresh ginger,minced ginger
ground black pepper,ground black pepper
cold water,water
broccoli coleslaw mix,broccoli slaw
"zucchini, diced",zucchini / courgette / baby marrow
"red bell pepper, diced",bell pepper
cubed cooked chicken breasts,chicken breast
green onions cut into 1-inch pieces,scallion / spring onion / green onion
medium-sized dried rice noodles,rice noodle
1/2-inch wide strips of raw chicken breast,chicken breast
white sugar,white sugar
"canola or peanut oil, divided",canola oil
chopped unsalted dry-roasted peanuts,peanut
chopped fresh chives,chinese chive
fresh bean sprouts,bean sprout
butter,butter
"boneless, skinless chicken breast halves, cut into bite-sized pieces",chicken breast
white wine vinegar,vinegar
"green onions, chopped",scallion / spring onion / green onion
crushed peanuts,peanut
"lemon, cut into wedges",lemon wedge
distilled white vinegar,vinegar
"firm tofu, cut into 1/2 inch strips",firm tofu
ground peanuts,peanut
"ground, dried oriental radish",ground radish
paprika,paprika
"lime, cut into wedges",lime wedge
dried flat rice noodles,rice noodle
"asian chile pepper sauce, divided",chili sauce
medium shrimp - peeled and deveined,shrimp
"skinless, boneless chicken breast halves - cut into 1 inch cubes",chicken breast
"eggs, beaten",egg
"bean sprouts, divided",bean sprout
"green onions, chopped into 1 inch pieces",scallion / spring onion / green onion
"lime, cut into 8 wedges",lime wedge
"vegetable oil, divided",vegetable oil
"boneless, skinless chicken breast halves, sliced into thin strips",chicken breast
"garlic, minced",garlic
coarsely ground peanuts,peanut
"paprika, or to taste",paprika
dried rice vermicelli,rice vermicelli
thinly sliced firm tofu,firm tofu
"large egg, beaten",egg
"garlic, finely chopped",garlic
dried red chili flakes,chili flakes
"green onions, whites cut thinly across and greens sliced into thin lengths - divided",scallion / spring onion / green onion
"limes, cut into wedges for garnish",lime wedge
medium width rice vermicelli noodles,rice vermicelli
hot pepper sauce,chili sauce
"red pepper, thinly sliced",bell pepper
"peeled, deveined raw shrimp",shrimp
freshly grated gingerroot,minced ginger
vegetable or chicken broth,chicken broth
heinz tomato ketchup,ketchup
"green onions, thinly sliced",scallion / spring onion / green onion
fresh coriander or parsley leaves,coriander / cilantro
"limes, juiced",lime juice
chili paste (sambal oelek),chili paste
"firm tofu, drained and cubed",firm tofu
"soy sauce, or to taste",soy sauce
"fish sauce, or to taste",fish sauce
"chicken breast, thinly sliced",chicken breast
"firm tofu, sliced",firm tofu
"garlic, chopped",garlic
chopped spring onions,scallion / spring onion / green onion
1 (14-ounce) package stir-fry rice noodles,rice noodle
"hillshire farm® smoked sausage, cut crosswise into 1/2-inch-thick slices",sausage
peeled and deveined small shrimp,shrimp
"green onions, chopped into 1-inch pieces",scallion / spring onion / green onion
chopped fresh cilantro leaves,coriander / cilantro
chopped roasted salted peanuts,peanut
low-sodium soy sauce,soy sauce
asian chile pepper sauce,chili sauce
"skinless, boneless chicken breasts, cut into 1-inch cubes",chicken breast
"water, or as needed (optional)",water
chopped fresh basil,basil
"pad thai rice noodles, soaked in water overnight and drained",rice noodle
onion powder,onion powder
hot chile paste,chili paste
salt and ground black pepper to taste,ground black pepper
chopped broccoli,broccoli
chopped carrots,carrot
"snow peas, trimmed",snow pea
"sliced water chestnuts, drained",water chestnut
"baby corn, drained",baby corn
sliced fresh mushrooms,mushroom
sliced zucchini,zucchini / courgette / baby marrow
chopped peanuts for topping,peanut
paprika for garnish,paprika
"cold water, as needed",water
"chicken breast, cut into 1/2-inch strips",chicken breast
"white sugar, or more to taste",white sugar
"dry-roasted, unsalted peanuts",peanut
dried ground asian radish,ground radish
"chili powder, or more to taste",chili powder
"onion, diced",onion
sweet chile sauce,chili sauce
"uncooked medium shrimp, peeled and deveined",shrimp
"eggs, lightly beaten",egg
"unsalted dry-roasted peanuts, chopped",peanut
shredded carrots (optional),carrot
chopped green onions,scallion / spring onion / green onion
coarsely chopped cilantro,coriander / cilantro
"tofu, drained and cubed",tofu
dry rice stick noodles,rice vermicelli
"onion, sliced",onion
egg (optional),egg
1/4-inch thick rice stick noodles,rice vermicelli
"raw peanuts, or more to taste",peanut
"thai chile peppers, seeded and minced, or more to taste",thai chili
"shallot, minced, or more to taste",shallot
"garlic, minced, or more to taste",garlic
"boneless chicken, cut into 1/4-inch strips",chicken
"extra-firm tofu, cut into matchsticks",firm tofu
"ground white pepper, or to taste",ground pepper
"large shrimp - peeled, deveined, and tails removed (optional)",shrimp
bean sprouts (optional),bean sprout
chopped fresh chives (optional),chinese chive
"lime, juiced",lime juice
"chili powder, or to taste (optional)",chili powder
"lettuce, chopped, or as needed",lettuce
flaxseed oil,flaxseed oil
"fresh bean sprouts, or to taste (optional)",bean sprout
chopped green onion,scallion / spring onion / green onion
"shirataki noodles, drained",shirataki noodle
"tofu, cut into chunks",tofu
reduced-sodium soy sauce,soy sauce
"chopped cashews, divided",cashew
"boneless, skinless chicken breast halves, cut into bite-size pieces",chicken breast
rice wine,vinegar
thai chile sauce,chili sauce
"chicken breasts, diced",chicken breast
"chopped peanuts, or to taste (optional)",peanut
"cilantro, or to taste (optional)",coriander / cilantro
"sriracha sauce, or to taste (optional)",sriracha sauce
low-sodium chicken broth,chicken broth
"quinoa, rinsed and drained",quinoa
"coconut oil, divided",coconut oil
"boneless, skinless chicken breast, cut into thin strips",chicken breast
diced broccoli stems,broccoli
"carrots, cut into matchsticks",carrot
chopped fresh ginger,minced ginger
"salted peanuts, chopped",peanut
"zucchini, ends trimmed",zucchini / courgette / baby marrow
"red cabbage, thinly sliced",cabbage
"red bell pepper, thinly sliced",bell pepper
raw almond butter,almond butter
"oranges, juiced",orange juice
minced fresh ginger root,minced ginger
nama shoyu (raw soy sauce),soy sauce
unpasteurized miso,miso paste
dark sesame oil,sesame oil
